seller_id,month,tenure_months,orders,gmv,returns,ads_spend,active
S100000,2026-02-01,0,32,1308.02,8,68.3,True
S100000,2026-03-01,1,24,651.64,6,20.82,True
S100000,2026-04-01,2,19,464.97,4,15.56,True
S100000,2026-05-01,3,17,447.13,2,19.49,True
S100000,2026-06-01,4,22,944.37,5,56.75,True
S100001,2025-06-01,0,55,504.58,2,21.75,True
S100001,2025-07-01,1,92,1309.15,3,131.19,True
S100001,2025-08-01,2,72,1301.63,4,52.66,True
S100001,2025-09-01,3,61,923.78,2,52.34,True
S100001,2025-10-01,4,67,733.38,1,20.78,True
S100001,2025-11-01,5,69,687.96,1,21.22,True
S100001,2025-12-01,6,49,612.39,1,61.39,True
S100001,2026-01-01,7,24,361.19,0,37.56,True
S100001,2026-02-01,8,19,217.63,0,24.57,True
S100001,2026-03-01,9,60,937.81,2,55.39,True
S100001,2026-04-01,10,32,336.46,1,35.86,True
S100002,2026-04-01,0,9,305.88,1,14.78,True
S100002,2026-05-01,1,16,511.78,2,31.81,True
S100002,2026-06-01,2,16,574.32,2,43.94,True
S100003,2025-12-01,0,28,738.25,2,32.71,True
S100003,2026-01-01,1,30,829.13,1,28.43,True
S100003,2026-02-01,2,18,418.33,0,21.02,True
S100003,2026-03-01,3,48,958.39,1,41.59,True
S100003,2026-04-01,4,51,1085.58,5,95.59,True
S100003,2026-05-01,5,20,462.24,2,22.73,True
S100003,2026-06-01,6,22,285.2,0,7.72,True
S100004,2024-06-01,0,41,620.01,2,24.29,True
S100004,2024-07-01,1,39,388.39,2,39.16,True
S100004,2024-08-01,2,16,229.43,0,8.92,True
S100004,2024-09-01,3,37,471.36,1,37.57,True
S100004,2024-10-01,4,79,1230.48,2,95.03,True
S100004,2024-11-01,5,65,961.32,1,88.09,True
S100004,2024-12-01,6,47,686.73,1,66.39,True
S100004,2025-01-01,7,22,335.11,0,35.18,True
S100005,2026-06-01,0,44,1349.96,3,60.0,True
S100006,2026-02-01,0,8,281.86,0,21.81,True
S100006,2026-03-01,1,17,574.72,1,14.71,True
S100006,2026-04-01,2,8,192.34,1,7.99,True
S100006,2026-05-01,3,37,1431.39,2,125.25,True
S100007,2026-02-01,0,9,97.05,0,8.69,True
S100007,2026-03-01,1,16,230.86,1,6.47,True
S100007,2026-04-01,2,22,334.48,1,16.74,True
S100007,2026-05-01,3,13,179.13,0,6.38,True
S100007,2026-06-01,4,20,277.29,0,12.57,True
S100008,2024-08-01,0,41,1030.41,0,66.18,True
S100008,2024-09-01,1,39,1120.69,2,80.23,True
S100008,2024-10-01,2,46,949.4,3,63.79,True
S100008,2024-11-01,3,41,1308.55,2,92.52,True
S100008,2024-12-01,4,55,1251.9,3,85.99,True
S100008,2025-01-01,5,28,569.5,1,28.98,True
S100008,2025-02-01,6,23,581.21,2,37.47,True
S100008,2025-03-01,7,65,1399.79,1,52.63,True
S100008,2025-04-01,8,15,203.7,1,17.65,True
S100008,2025-05-01,9,72,1361.88,2,47.89,True
S100008,2025-06-01,10,30,517.37,0,12.11,True
S100009,2025-06-01,0,20,1024.81,0,77.59,True
S100009,2025-07-01,1,41,1458.95,2,68.32,True
S100010,2025-04-01,0,38,2331.01,5,147.43,True
S100010,2025-05-01,1,11,526.69,2,38.24,True
S100010,2025-06-01,2,22,1524.07,3,125.12,True
S100010,2025-07-01,3,15,646.22,1,41.49,True
S100010,2025-08-01,4,34,2987.64,9,236.47,True
S100010,2025-09-01,5,22,1503.86,3,55.97,True
S100010,2025-10-01,6,8,606.95,0,49.78,True
S100010,2025-11-01,7,35,1376.94,2,117.95,True
S100010,2025-12-01,8,22,1608.39,0,77.75,True
S100010,2026-01-01,9,7,627.13,0,51.77,True
S100010,2026-02-01,10,33,2987.05,3,64.2,True
S100011,2026-05-01,0,6,139.31,1,7.72,True
S100011,2026-06-01,1,6,150.46,0,7.04,True
S100012,2025-11-01,0,10,550.62,3,32.51,True
S100012,2025-12-01,1,14,535.48,2,22.9,True
S100012,2026-01-01,2,9,540.3,2,43.96,True
S100012,2026-02-01,3,19,764.21,2,42.05,True
S100012,2026-03-01,4,23,1126.14,4,70.54,True
S100012,2026-04-01,5,21,950.35,1,39.29,True
S100012,2026-05-01,6,29,1729.95,3,121.7,True
S100013,2026-03-01,0,21,799.16,6,61.79,True
S100013,2026-04-01,1,21,818.9,2,66.26,True
S100013,2026-05-01,2,40,1261.54,5,38.63,True
S100013,2026-06-01,3,47,1497.12,6,115.88,True
S100014,2025-06-01,0,47,404.8,4,8.73,True
S100014,2025-07-01,1,5,89.0,0,5.6,True
S100014,2025-08-01,2,33,364.07,2,15.76,True
S100014,2025-09-01,3,20,302.32,0,9.73,True
S100014,2025-10-01,4,11,74.42,0,2.25,True
S100014,2025-11-01,5,28,303.78,1,19.54,True
S100014,2025-12-01,6,22,360.81,0,8.99,True
S100014,2026-01-01,7,12,233.54,1,5.76,True
S100014,2026-02-01,8,31,363.66,0,9.17,True
S100014,2026-03-01,9,33,480.0,2,38.5,True
S100014,2026-04-01,10,19,267.31,1,5.81,True
S100014,2026-05-01,11,47,782.0,1,40.75,True
S100015,2024-12-01,0,51,3098.84,3,250.55,True
S100015,2025-01-01,1,26,1511.78,3,99.72,True
S100015,2025-02-01,2,15,636.74,2,54.62,True
S100015,2025-03-01,3,28,1723.77,11,39.33,True
S100015,2025-04-01,4,44,3027.75,4,128.31,True
S100015,2025-05-01,5,50,2259.71,6,103.26,True
S100015,2025-06-01,6,48,4091.8,4,195.56,True
S100015,2025-07-01,7,46,2855.33,6,117.33,True
S100015,2025-08-01,8,8,485.29,2,17.64,True
S100015,2025-09-01,9,18,1002.79,1,84.75,True
S100015,2025-10-01,10,40,3655.62,4,133.2,True
S100015,2025-11-01,11,9,399.63,2,29.81,True
S100015,2025-12-01,12,19,1262.45,1,77.0,True
S100015,2026-01-01,13,23,1051.4,2,37.48,True
S100015,2026-02-01,14,75,5221.0,12,369.87,True
S100015,2026-03-01,15,56,4121.86,10,264.26,True
S100015,2026-04-01,16,31,2120.12,3,44.02,True
S100015,2026-05-01,17,41,3180.19,9,222.74,True
S100015,2026-06-01,18,6,318.64,1,24.44,True
S100016,2025-09-01,0,27,638.76,7,22.96,True
S100016,2025-10-01,1,19,405.55,5,30.21,True
S100016,2025-11-01,2,39,1254.01,3,77.47,True
S100016,2025-12-01,3,16,495.28,1,37.99,True
S100016,2026-01-01,4,39,1091.86,5,59.1,True
S100016,2026-02-01,5,39,837.4,8,21.46,True
S100016,2026-03-01,6,23,558.91,5,11.35,True
S100016,2026-04-01,7,27,680.33,2,23.26,True
S100016,2026-05-01,8,66,2222.01,5,146.46,True
S100016,2026-06-01,9,39,1428.32,6,82.76,True
S100017,2024-05-01,0,12,365.54,2,26.7,True
S100017,2024-06-01,1,35,985.89,6,84.36,True
S100017,2024-07-01,2,8,299.04,2,25.66,True
S100017,2024-08-01,3,16,211.33,2,10.47,True
S100017,2024-09-01,4,28,781.51,6,33.64,True
S100017,2024-10-01,5,26,649.65,4,41.74,True
S100018,2026-03-01,0,46,1441.38,4,158.05,True
S100018,2026-04-01,1,89,2776.08,5,121.55,True
S100018,2026-05-01,2,109,2780.55,11,255.02,True
S100018,2026-06-01,3,108,2472.72,4,230.1,True
S100019,2025-11-01,0,5,98.08,0,5.51,True
S100019,2025-12-01,1,9,303.72,0,8.91,True
S100019,2026-01-01,2,18,497.37,3,17.67,True
S100019,2026-02-01,3,15,556.62,1,27.37,True
S100019,2026-03-01,4,15,517.49,0,34.1,True
S100019,2026-04-01,5,2,46.51,0,1.9,True
S100019,2026-05-01,6,44,1356.88,4,92.84,True
S100019,2026-06-01,7,19,423.24,1,33.01,True
S100020,2026-02-01,0,16,261.78,2,14.64,True
S100020,2026-03-01,1,24,792.13,0,17.24,True
S100020,2026-04-01,2,19,430.74,2,38.59,True
S100020,2026-05-01,3,16,381.96,1,30.2,True
S100020,2026-06-01,4,20,692.77,2,21.04,True
S100021,2025-04-01,0,30,700.36,7,41.68,True
S100021,2025-05-01,1,38,1016.88,7,39.53,True
S100021,2025-06-01,2,33,646.31,7,17.46,True
S100021,2025-07-01,3,24,715.7,6,27.81,True
S100021,2025-08-01,4,11,391.97,2,25.31,True
S100021,2025-09-01,5,17,538.87,5,46.56,True
S100021,2025-10-01,6,37,622.31,11,49.28,True
S100021,2025-11-01,7,35,1239.3,9,38.67,True
S100021,2025-12-01,8,44,1386.98,5,118.43,True
S100021,2026-01-01,9,7,295.49,2,26.01,True
S100021,2026-02-01,10,58,2066.66,14,76.21,True
S100021,2026-03-01,11,19,587.45,6,16.6,True
S100021,2026-04-01,12,98,2609.11,16,71.23,True
S100022,2026-06-01,0,47,1568.77,7,129.42,True
S100023,2026-04-01,0,50,1050.96,3,79.16,True
S100023,2026-05-01,1,28,643.46,2,44.48,True
S100023,2026-06-01,2,33,662.54,4,36.62,True
S100024,2026-02-01,0,7,88.91,0,5.73,True
S100024,2026-03-01,1,23,393.76,5,15.48,True
S100024,2026-04-01,2,15,241.36,2,13.51,True
S100024,2026-05-01,3,23,499.59,0,28.69,True
S100024,2026-06-01,4,11,251.88,1,13.66,True
S100025,2024-10-01,0,76,1567.88,6,161.23,True
S100025,2024-11-01,1,24,663.37,0,62.49,True
S100025,2024-12-01,2,56,1458.68,3,63.19,True
S100025,2025-01-01,3,46,1044.87,4,101.96,True
S100025,2025-02-01,4,58,1353.73,3,109.77,True
S100025,2025-03-01,5,120,2495.14,5,267.21,True
S100025,2025-04-01,6,44,694.88,1,40.18,True
S100025,2025-05-01,7,159,2194.66,17,251.9,True
S100026,2025-07-01,0,25,472.66,0,14.4,True
S100026,2025-08-01,1,9,148.16,0,8.68,True
S100026,2025-09-01,2,18,267.42,1,6.45,True
S100026,2025-10-01,3,11,80.38,0,6.01,True
S100026,2025-11-01,4,10,163.66,0,7.36,True
S100026,2025-12-01,5,17,233.44,0,13.42,True
S100026,2026-01-01,6,5,62.55,0,2.84,True
S100027,2024-03-01,0,66,735.65,0,17.42,True
S100027,2024-04-01,1,33,471.19,0,27.25,True
S100027,2024-05-01,2,29,488.85,0,32.16,True
S100027,2024-06-01,3,39,635.86,0,49.47,True
S100027,2024-07-01,4,29,286.68,0,15.98,True
S100027,2024-08-01,5,49,863.4,3,19.35,True
S100027,2024-09-01,6,61,691.72,1,36.44,True
S100028,2024-09-01,0,49,3145.38,3,173.06,True
S100028,2024-10-01,1,33,2830.41,4,110.08,True
S100028,2024-11-01,2,11,968.24,2,20.04,True
S100028,2024-12-01,3,16,934.62,1,77.05,True
S100028,2025-01-01,4,27,2022.65,2,173.04,True
S100028,2025-02-01,5,17,450.86,2,20.21,True
S100028,2025-03-01,6,12,666.39,2,48.26,True
S100028,2025-04-01,7,32,1458.01,8,45.21,True
S100028,2025-05-01,8,49,3115.55,1,150.99,True
S100028,2025-06-01,9,44,2560.43,4,80.83,True
S100028,2025-07-01,10,22,1191.34,3,48.93,True
S100028,2025-08-01,11,29,1127.72,2,67.1,True
S100028,2025-09-01,12,10,659.54,1,23.72,True
S100028,2025-10-01,13,18,1487.17,1,45.51,True
S100028,2025-11-01,14,47,3731.21,4,161.45,True
S100028,2025-12-01,15,24,1393.11,2,34.34,True
S100028,2026-01-01,16,15,948.31,0,76.5,True
S100028,2026-02-01,17,12,698.96,2,54.5,True
S100028,2026-03-01,18,28,2638.09,4,155.5,True
S100028,2026-04-01,19,7,543.09,3,25.27,True
S100028,2026-05-01,20,17,1044.27,0,70.4,True
S100028,2026-06-01,21,14,1119.03,0,74.0,True
S100029,2025-12-01,0,46,1201.34,7,75.32,True
S100029,2026-01-01,1,16,506.99,1,17.15,True
S100029,2026-02-01,2,33,914.74,5,33.9,True
S100029,2026-03-01,3,35,534.57,11,28.78,True
S100029,2026-04-01,4,16,213.21,3,9.2,True
S100029,2026-05-01,5,8,263.0,2,12.07,True
S100029,2026-06-01,6,26,1053.92,2,57.95,True
S100030,2026-01-01,0,55,2066.25,1,99.89,True
S100030,2026-02-01,1,62,1897.48,4,179.87,True
S100030,2026-03-01,2,87,1676.52,3,66.29,True
S100030,2026-04-01,3,168,6021.6,8,300.31,True
S100030,2026-05-01,4,49,1566.35,1,135.32,True
S100030,2026-06-01,5,86,2059.38,4,91.21,True
S100031,2026-06-01,0,12,257.41,2,14.9,True
S100032,2025-03-01,0,42,349.14,1,34.03,True
S100032,2025-04-01,1,45,565.13,1,61.05,True
S100032,2025-05-01,2,50,378.33,1,21.05,True
S100032,2025-06-01,3,43,375.41,2,34.19,True
S100032,2025-07-01,4,32,473.41,0,28.97,True
S100033,2025-04-01,0,81,1346.38,6,140.08,True
S100033,2025-05-01,1,47,469.57,1,45.7,True
S100033,2025-06-01,2,72,941.98,2,52.28,True
S100033,2025-07-01,3,10,155.55,0,17.76,True
S100033,2025-08-01,4,87,1107.05,1,128.89,True
S100033,2025-09-01,5,27,399.94,1,16.38,True
S100034,2025-07-01,0,40,549.25,0,43.85,True
S100034,2025-08-01,1,10,147.7,0,10.82,True
S100034,2025-09-01,2,17,301.38,0,26.15,True
S100034,2025-10-01,3,13,199.41,0,16.93,True
S100034,2025-11-01,4,28,319.88,4,17.37,True
S100034,2025-12-01,5,19,413.76,0,13.16,True
S100034,2026-01-01,6,21,402.42,0,12.56,True
S100034,2026-02-01,7,29,425.93,0,31.57,True
S100034,2026-03-01,8,46,510.7,1,33.4,True
S100035,2024-10-01,0,20,635.87,1,43.06,True
S100035,2024-11-01,1,10,243.25,1,14.12,True
S100035,2024-12-01,2,65,2556.16,3,154.3,True
S100035,2025-01-01,3,17,567.99,1,19.02,True
S100035,2025-02-01,4,17,700.74,1,32.52,True
S100035,2025-03-01,5,54,1627.5,3,82.01,True
S100035,2025-04-01,6,15,628.43,0,40.21,True
S100035,2025-05-01,7,20,533.85,1,17.13,True
S100035,2025-06-01,8,19,542.01,0,22.54,True
S100035,2025-07-01,9,61,1758.42,8,96.93,True
